configuration,feature,mean_abs_shap,rank,abbreviation,family
l2_low,terrain_tpi_1km,0.00016753887757658958,32,TPI1,Terrain
l2_low,vpd_kpa_slope_2000_2025,0.00015764108684379607,33,VPDs,Climate
l2_low,def_mm_slope_2000_2025,0.00015386854647658765,34,CWDs,Climate
l2_low,aet_mm_mean_2000_2025,0.00014874916814733297,35,AETm,Climate
l2_low,runoff_mm_mean_2000_2025,0.0001351458195131272,36,RUNm,Hydrology
l2_low,ssrd_wm2_mean_2000_2025,0.00013437394227366894,37,SRADm,Climate
l2_low,runoff_mm_slope_2000_2025,0.00012727227294817567,38,RUNs,Hydrology
l2_low,vpd_kpa_mean_2000_2025,0.00012046680058119819,39,VPDm,Climate
l2_low,pet_mm_mean_2000_2025,0.00011989029007963836,40,PETm,Climate
l2_low,soil_water_rootzone_mean_2000_2025,0.00011307434760965407,41,SWRm,Hydrology
